index,创作者ID,创作者名称_x,是否官方_x,5月被开练课程数量,开练UV,开练PV,首次开练UV,首次开练PV,5月被完练课程数量,完练UV,完练PV,首次完练UV,首次完练PV,首次完练&复练UV,创作者次月完练-完练留存UV,详情页UV,详情页PV,创作者月完练-完练留存UV,创作者月完练-7日内App留存UV,次月复练率-UV,完练率-UV,当月复练率,完练-7日内App留存率,创作者名称_y,是否官方_y,classif
229,623a9db44b919400017071d0,足智多谋的青矜,[false],5.0,7450.0,10583.0,7372.0,8851.0,5.0,6413.0,8763.0,6356.0,7248.0,675.0,704.0,10213.0,16388.0,680.0,3955.0,0.11,0.86,0.11,0.62,足智多谋的青矜,[false],2
230,56d82ead3bbf5fe51b8e5f96,龙爱任,[false],51.0,7443.0,15010.0,5649.0,6543.0,51.0,4668.0,10847.0,3081.0,3362.0,588.0,843.0,21564.0,53159.0,1279.0,3796.0,0.18,0.63,0.27,0.81,龙爱任,[false],2
231,5eb61ae3b02f9a4b3170ab3e,Gummy桃姨,[false],14.0,7365.0,13906.0,5814.0,6467.0,14.0,5086.0,9713.0,3873.0,4041.0,581.0,493.0,19293.0,41261.0,1138.0,3951.0,0.1,0.69,0.22,0.78,Gummy桃姨,[false],2
232,623a9da7eaf6fb00010ecc08,成熟稳重的你还是没感动,[false],29.0,7354.0,11365.0,7063.0,7419.0,27.0,6416.0,9082.0,6358.0,6432.0,1008.0,295.0,20694.0,34476.0,1040.0,5405.0,0.05,0.87,0.16,0.84,成熟稳重的你还是没感动,[false],2
233,623a9d3a1e3e850001b371d7,会功夫的勤奋的沧海桑田,[false],77.0,7264.0,11484.0,6671.0,8095.0,75.0,4544.0,7006.0,4058.0,4374.0,628.0,283.0,36618.0,74840.0,818.0,3679.0,0.06,0.63,0.18,0.81,会功夫的勤奋的沧海桑田,[false],2
234,5aabe77c7511ce56135380ea,音音INNA,[false],16.0,7162.0,10231.0,6563.0,6997.0,16.0,5633.0,8104.0,5091.0,5210.0,614.0,392.0,19589.0,37782.0,829.0,4322.0,0.07,0.79,0.15,0.77,音音INNA,[false],2
235,55f94e62f4421d4a6ea3c3c5,爱健身的帅帅妈,[false],28.0,7096.0,14733.0,6402.0,8243.0,29.0,4578.0,10475.0,3905.0,4533.0,1106.0,1123.0,30194.0,101757.0,1454.0,4038.0,0.25,0.65,0.32,0.88,爱健身的帅帅妈,[false],1
236,57e4b37a31f1162b028b3f6e,饷钱Eva,[false],12.0,7064.0,24474.0,3796.0,4137.0,12.0,5406.0,20907.0,2336.0,2349.0,658.0,1582.0,19420.0,53817.0,2784.0,4778.0,0.29,0.77,0.51,0.88,饷钱Eva,[false],1
237,59ca24eee666863660573953,卢昆Kyle,"[false,true]",27.0,7063.0,19904.0,6668.0,10654.0,27.0,4745.0,16338.0,4416.0,7536.0,2451.0,164.0,16176.0,55564.0,1880.0,4449.0,0.03,0.67,0.4,0.94,卢昆Kyle,"[false,true]",2
238,55b1f138390dc604c8baefaf,浩子不胖,[false],15.0,6954.0,18469.0,4591.0,5441.0,15.0,5535.0,16610.0,3217.0,3296.0,1075.0,1355.0,26026.0,75233.0,2393.0,4549.0,0.24,0.8,0.43,0.82,浩子不胖,[false],1
239,5872628f8c26a37255545e27,一余鱼yoga,[false],25.0,6939.0,12602.0,6429.0,7905.0,25.0,3643.0,7917.0,3241.0,3843.0,828.0,573.0,28092.0,68795.0,930.0,3209.0,0.16,0.53,0.26,0.88,一余鱼yoga,[false],2
